mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_subsample;param_objective;param_n_estimators;param_min_child_weight;param_max_depth;param_learning_rate;param_colsample_bytree;params;split0_test_score;split1_test_score;split2_test_score;split3_test_score;mean_test_score;std_test_score;rank_test_score
2.803;0.009;0.031;0.012;1.0;reg:squarederror;200;5;5;0.05;0.25;{'subsample': 1.0, 'objective': 'reg:squarederror', 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.05, 'colsample_bytree': 0.25};-0.031;-0.011;-0.024;-0.001;-0.017;0.012;74
4.331;0.137;0.023;0.007;0.8;reg:squarederror;200;10;5;0.05;0.5;{'subsample': 0.8, 'objective': 'reg:squarederror', 'n_estimators': 200, 'min_child_weight': 10, 'max_depth': 5, 'learning_rate': 0.05, 'colsample_bytree': 0.5};-0.019;-0.006;-0.026;-0.015;-0.017;0.007;75
2.532;0.101;0.016;0.006;0.7;reg:squarederror;100;3;7;0.05;0.7;{'subsample': 0.7, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 3, 'max_depth': 7, 'learning_rate': 0.05, 'colsample_bytree': 0.7};-0.027;-0.006;-0.026;-0.009;-0.017;0.010;76
5.034;0.274;0.017;0.002;0.7;reg:squarederror;200;10;5;0.05;0.7;{'subsample': 0.7, 'objective': 'reg:squarederror', 'n_estimators': 200, 'min_child_weight': 10, 'max_depth': 5, 'learning_rate': 0.05, 'colsample_bytree': 0.7};-0.026;-0.013;-0.022;-0.012;-0.018;0.006;77
3.394;0.060;0.015;0.003;0.8;reg:squarederror;200;5;3;0.1;0.5;{'subsample': 0.8, 'objective': 'reg:squarederror', 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.1, 'colsample_bytree': 0.5};-0.029;-0.003;-0.021;-0.020;-0.018;0.010;78
4.129;0.127;0.020;0.002;0.8;reg:squarederror;200;3;5;0.05;0.5;{'subsample': 0.8, 'objective': 'reg:squarederror', 'n_estimators': 200, 'min_child_weight': 3, 'max_depth': 5, 'learning_rate': 0.05, 'colsample_bytree': 0.5};-0.032;-0.007;-0.026;-0.011;-0.019;0.010;79
1.977;0.043;0.012;0.004;0.5;reg:squarederror;100;5;3;0.1;1.0;{'subsample': 0.5, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.1, 'colsample_bytree': 1.0};-0.025;-0.006;-0.036;-0.011;-0.019;0.012;80
2.039;0.083;0.019;0.002;0.7;reg:squarederror;100;3;9;0.05;0.25;{'subsample': 0.7, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 3, 'max_depth': 9, 'learning_rate': 0.05, 'colsample_bytree': 0.25};-0.022;-0.011;-0.017;-0.030;-0.020;0.007;81
3.399;0.034;0.021;0.005;0.7;reg:squarederror;100;1;7;0.05;0.7;{'subsample': 0.7, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 7, 'learning_rate': 0.05, 'colsample_bytree': 0.7};-0.032;-0.010;-0.022;-0.023;-0.022;0.008;82
3.078;0.054;0.017;0.003;0.8;reg:squarederror;200;10;3;0.1;0.5;{'subsample': 0.8, 'objective': 'reg:squarederror', 'n_estimators': 200, 'min_child_weight': 10, 'max_depth': 3, 'learning_rate': 0.1, 'colsample_bytree': 0.5};-0.027;-0.009;-0.033;-0.018;-0.022;0.009;83
